starName1,starName2,constellation
1οAnd,17ιAnd,Andromeda (アンドロメダ座)
16λAnd,19κAnd,Andromeda (アンドロメダ座)
19κAnd,17ιAnd,Andromeda (アンドロメダ座)
17ιAnd,24θAnd,Andromeda (アンドロメダ座)
24θAnd,29πAnd,Andromeda (アンドロメダ座)
29πAnd,21αAnd,Andromeda (アンドロメダ座)
21αAnd,31δAnd,Andromeda (アンドロメダ座)
31δAnd,34ζAnd,Andromeda (アンドロメダ座)
31δAnd,43βAnd,Andromeda (アンドロメダ座)
43βAnd,50υAnd,Andromeda (アンドロメダ座)
50υAnd,57γ1And,Andromeda (アンドロメダ座)
43βAnd,37μAnd,Andromeda (アンドロメダ座)
37μAnd,35νAnd,Andromeda (アンドロメダ座)
35νAnd,42φAnd,Andromeda (アンドロメダ座)
42φAnd,51And,Andromeda (アンドロメダ座)
13Mon,8εMon,Monoceros (いっかくじゅう座)
8εMon,5γMon,Monoceros (いっかくじゅう座)
8εMon,11βMon,Monoceros (いっかくじゅう座)
8εMon,18Mon,Monoceros (いっかくじゅう座)
18Mon,22δMon,Monoceros (いっかくじゅう座)
22δMon,26αMon,Monoceros (いっかくじゅう座)
13μSgr,22λSgr,Sagittarius (いて座)
22λSgr,19δSgr,Sagittarius (いて座)
19δSgr,10γ2Sgr,Sagittarius (いて座)
19δSgr,20εSgr,Sagittarius (いて座)
20εSgr,ηSgr,Sagittarius (いて座)
22λSgr,27φSgr,Sagittarius (いて座)
27φSgr,34σSgr,Sagittarius (いて座)
44ρ1Sgr,43Sgr,Sagittarius (いて座)
43Sgr,41πSgr,Sagittarius (いて座)
41πSgr,39οSgr,Sagittarius (いて座)
37ξ2Sgr,39οSgr,Sagittarius (いて座)
39οSgr,34σSgr,Sagittarius (いて座)
34σSgr,40τSgr,Sagittarius (いて座)
40τSgr,38ζSgr,Sagittarius (いて座)
38ζSgr,αSgr,Sagittarius (いて座)
αSgr,β1Sgr,Sagittarius (いて座)
40τSgr,58ωSgr,Sagittarius (いて座)
58ωSgr,θ1Sgr,Sagittarius (いて座)
θ1Sgr,ιSgr,Sagittarius (いて座)
12γ2Del,9αDel,Delphinus (いるか座)
9αDel,6βDel,Delphinus (いるか座)
6βDel,11δDel,Delphinus (いるか座)
11δDel,12γ2Del,Delphinus (いるか座)
6βDel,2εDel,Delphinus (いるか座)
αInd,θInd,Indus (インディアン座)
θInd,βInd,Indus (インディアン座)
θInd,δInd,Indus (インディアン座)
δInd,εInd,Indus (インディアン座)
83τPsc,90υPsc,Pisces (うお座)
90υPsc,85φPsc,Pisces (うお座)
85φPsc,84χPsc,Pisces (うお座)
84χPsc,99ηPsc,Pisces (うお座)
99ηPsc,110οPsc,Pisces (うお座)
110οPsc,113αPsc,Pisces (うお座)
113αPsc,106νPsc,Pisces (うお座)
106νPsc,98μPsc,Pisces (うお座)
98μPsc,86ζPsc,Pisces (うお座)
86ζPsc,71εPsc,Pisces (うお座)
71εPsc,63δPsc,Pisces (うお座)
63δPsc,28ωPsc,Pisces (うお座)
28ωPsc,18λPsc,Pisces (うお座)
18λPsc,8κPsc,Pisces (うお座)
8κPsc,6γPsc,Pisces (うお座)
6γPsc,10θPsc,Pisces (うお座)
10θPsc,17ιPsc,Pisces (うお座)
17ιPsc,28ωPsc,Pisces (うお座)
3ιLep,4κLep,Lepus (うさぎ座)
4κLep,5μLep,Lepus (うさぎ座)
6λLep,5μLep,Lepus (うさぎ座)
5μLep,11αLep,Lepus (うさぎ座)
11αLep,9βLep,Lepus (うさぎ座)
9βLep,2εLep,Lepus (うさぎ座)
16ηLep,14ζLep,Lepus (うさぎ座)
14ζLep,11αLep,Lepus (うさぎ座)
14ζLep,15δLep,Lepus (うさぎ座)
15δLep,13γLep,Lepus (うさぎ座)
23θBoo,19λBoo,Lepus (うさぎ座)
19λBoo,27γBoo,Bootes (うしかい座)
27γBoo,25ρBoo,Bootes (うしかい座)
25ρBoo,16αBoo,Bootes (うしかい座)
16αBoo,8ηBoo,Bootes (うしかい座)
8ηBoo,5υBoo,Bootes (うしかい座)
25ρBoo,28σBoo,Bootes (うしかい座)
42βBoo,27γBoo,Bootes (うしかい座)
42βBoo,49δBoo,Bootes (うしかい座)
51μ1Boo,49δBoo,Bootes (うしかい座)
49δBoo,36εBoo,Bootes (うしかい座)
28σBoo,36εBoo,Bootes (うしかい座)
16αBoo,29π1Boo,Bootes (うしかい座)
29π1Boo,30ζBoo,Bootes (うしかい座)
36εBoo,16αBoo,Bootes (うしかい座)
5σHya,7ηHya,Hydra (うみへび座)
7ηHya,16ζHya,Hydra (うみへび座)
16ζHya,13ρHya,Hydra (うみへび座)
13ρHya,4δHya,Hydra (うみへび座)
4δHya,11εHya,Hydra (うみへび座)
11εHya,16ζHya,Hydra (うみへび座)
16ζHya,22θHya,Hydra (うみへび座)
22θHya,35ιHya,Hydra (うみへび座)
35ιHya,30αHya,Hydra (うみへび座)
30αHya,39υ1Hya,Hydra (うみへび座)
39υ1Hya,40υ2Hya,Hydra (うみへび座)
40υ2Hya,41λHya,Hydra (うみへび座)
41λHya,42μHya,Hydra (うみへび座)
42μHya,νHya,Hydra (うみへび座)
νHya,χ1Hya,Hydra (うみへび座)
χ1Hya,ξHya,Hydra (うみへび座)
ξHya,βHya,Hydra (うみへび座)
βHya,46γHya,Hydra (うみへび座)
46γHya,49πHya,Hydra (うみへび座)
49πHya,58Hya,Hydra (うみへび座)
67βEri,61ωEri,Eridanus (エリダヌス座)
61ωEri,57μEri,Eridanus (エリダヌス座)
57μEri,48νEri,Eridanus (エリダヌス座)
48νEri,38ο1Eri,Eridanus (エリダヌス座)
38ο1Eri,34γEri,Eridanus (エリダヌス座)
34γEri,23δEri,Eridanus (エリダヌス座)
23δEri,18εEri,Eridanus (エリダヌス座)
18εEri,13ζEri,Eridanus (エリダヌス座)
13ζEri,3ηEri,Eridanus (エリダヌス座)
3ηEri,1τ1Eri,Eridanus (エリダヌス座)
1τ1Eri,2τ2Eri,Eridanus (エリダヌス座)
2τ2Eri,11τ3Eri,Eridanus (エリダヌス座)
11τ3Eri,16τ4Eri,Eridanus (エリダヌス座)
16τ4Eri,19τ5Eri,Eridanus (エリダヌス座)
19τ5Eri,27τ6Eri,Eridanus (エリダヌス座)
27τ6Eri,52υ2Eri,Eridanus (エリダヌス座)
52υ2Eri,43Eri,Eridanus (エリダヌス座)
43Eri,41υ4Eri,Eridanus (エリダヌス座)
41υ4Eri,HIP17874Eri,Eridanus (エリダヌス座)
